Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,HD scenario body,HD scenario body #2 (negation scenarios only),HD comprehension question,HD correct response,HD incorrect response,HD photo link,Letters Missing
Work/Career Development,Social Situations,,Missing meeting,"Although you are normally on time for work events, today you receive an email from your boss saying that you are a few minutes late for a scheduled meeting with them, which you had completely forgotten about. As you quickly head to the office, you wonder whether they are going to judge you for being late. As you walk into the room, your anxiety is tolerable.",N/A,"During the meeting, your boss will probably think you are ...","Competent, even though you made a mistake. ",Irresponsible and nervous.,./images/Missing_meeting.jpeg,2
Work/Career Development,,,Important visitors,"Some important people are visiting your office, and you are asked to present a project to them. On the day of the presentation, you arrange your slides and mentally prepare yourself. You think the visitors will evaluate your performance as organized.",N/A,Will the visitors be unimpressed with your performance?,No,Yes,./images/Important_visitors.jpeg,2
Work/Career Development,Mental Health,,Deleted Project,"You have to turn in an important project today. When you open your computer, you can't find the file anywhere. The project must have been deleted.",You take a deep breath and decide to tell your boss about what happened. You feel ok.,Are you anxious because your project got deleted?,No,Yes,./images/Deleted_Project.jpeg,2
Work/Career Development,Social Situations,,Dealing with Group Work,"You are assigned a project to complete for work. You've been grouped with coworkers who usually don't contribute much to work projects. You start to think about how the project will go, and feel uneasy.",,Are you worried about completing the presentation?,Yes,No,./images/Dealing_with_Group_Work.jpeg,2
Work/Career Development,Mental Health,,Working to Get Ahead,"You have just been given a job in an office that you really admire. To eventually receive the promotion you want, you know that you will have to work very hard for several years and the outcome is uncertain.","As you envision your likely position in the company down the road, you do not see yourself getting passed by, and you expect the job you want will be given to you.",Do you expect to eventually get the job you want?,Yes,No,./images/Working_to_Get_Ahead.jpeg,2
Work/Career Development,,,Preparing for evaluation,You are preparing to meet with your boss for a performance review. You heard from other people that your boss is in an incredibly bad mood today. You worked hard this semester and think it is likely you will get a good review.,N/A,Will you probably get a good review?,Yes,No,./images/Preparing_for_evaluation.jpeg,2
Work/Career Development,Mental Health,,One-on-one thoughts,"You have a one-on-one meeting today with your intimidating boss, which you are nervous about. During the meeting, you momentarily lose your train of thought. After that, your anxiety is tolerable.",N/A,Are you able to tolerate your anxiety while meeting with your boss?,Yes,No,./images/One-on-one_thoughts.jpeg,2
Work/Career Development,,,Strong opinions,The morning of your first evaluation with your new boss has arrived. They tell you that they have strong views about your work. You think that they likely find your work excellent.,N/A,Do you think your new boss has an unfavorable opinion of your work?,No,Yes,./images/Strong_opinions.jpeg,2
Work/Career Development,,,Putting Preparation to the Test,"You have an important presentation today. You've been working hard on it because it is a requirement for your job. When you begin the presentation, you feel prepared.",N/A ,Do you feel ready for your presentation today? ,Yes,No,./images/Putting_Preparation_to_the_Test.jpeg,2
Work/Career Development,,,Waiting for Big News,"Today, you will receive an important email. It will tell you whether you received or didn't get a promotion that would really advance your career.  As you think about waiting for the email, you feel excited.",N/A,Are you miserable waiting for the important email?,No,Yes,./images/Waiting_for_Big_News.jpeg,2
Work/Career Development,,,Waiting for Big News,"Today, you will receive an important email. It will tell you whether you received or didn't get a promotion that would really advance your career.  As you think about waiting for the email, you feel dread.",N/A,Are you miserable waiting for the important email?,Yes,No,./images/Waiting_for_Big_News.jpeg,2
Work/Career Development,Social Situations,,Letting Others See Your Work,"A friend suggests that you join a creative writing organization. He tells you that members of the organization will read and critique your writing. As you listen to your friend, the thought of other people looking at your writing makes you feel enthusiastic.",,Do you expect to feel uncomfortable if others look at your work?,No,Yes,./images/Letting_Others_See_Your_Work.jpeg,2
Work/Career Development,Mental Health,,Important Email,"Today you are receiving an email about whether or not you received a promotion. You have a few hours to wait until you'll get the email. When you think about waiting that long, you feel miserable.",N/A,Do you feel OK having to wait for the email?,No,Yes,./images/Important_Email.jpeg,2
Work/Career Development,Social Situations,,Mind Going Blank,Your boss calls on you to answer a question about the plans you just discussed. You don't know what to say. Your mind goes blank.,"You give yourself a moment to collect your thoughts and then answer the question. When you think about the answer you gave, you feel good.",Are you able to answer the question?,Yes,No,./images/Mind_Going_Blank.jpeg,2
Work/Career Development,,,Judging Your Performance,"You prepared a lot for an important presentation with your colleagues. Your section of the presentation didn't go as well as you expected. You think about whether you will be able to do better in your next section, and realize this was your last section.","Right now you aren't happy, but you think about your group's overall presentation. You realize that it was good.",Did your presentation go poorly?,No,Yes,./images/Judging_Your_Performance.jpeg,2
Work/Career Development,,,Finishing Work,"You have a project due at work next week. You haven't started it yet because you're unsure how to best complete it. When you think about completing the project on time, you feel confident.",N/A,Are you worried about completing your project on time?,No,Yes,./images/Finishing_Work.jpeg,2
Work/Career Development,Mental Health,,Using Different Technology,"You recently replaced your laptop and had to go with a cheaper option. Your boss asks you to complete a project that will require an application that your new computer doesn’t have. When you think about completing your work for this project, you feel capable.",N/A,Do you feel capable of completing the work for this project?,Yes,No,./images/Using_Different_Technology.jpeg,2
Work/Career Development,,,Noisy Neighbors,"Your neighbors were really loud last night so you couldn't sleep. You have a huge presentation to give to your coworkers this morning on a complicated topic. As you think about how you'll do in the presentation, you feel prepared.",,Are you ready for your presentation?,Yes,No,./images/Noisy_Neighbors.jpeg,2
Work/Career Development,,,Completion Complications,"You are proposing a new idea in a meeting today. You only have an hour before the meeting and you don't know where to start. When you think about your ability to complete the proposal, you feel doubtful.",,Will you be able to finish your proposal in time?,No,Yes,./images/Completion_Complications.jpeg,2
Work/Career Development,Social Situations,,Changing Your Plans,"You've decided to accept a job in another department. All of your close friends are applying to committees within your current department. When you think about your decision to switch departments, you feel satisfied.",N/A,Are you happy with your decision to switch departments?,Yes,No,./images/Changing_Your_Plans.jpeg,2
Work/Career Development,Social Situations,,The Meeting,You are walking to an important meeting with your supervisor. Suddenly your mind goes blank as you reach for the doorknob to her office. You think about your mind going blank and think that this is normal.,N/A,Is it scary that your mind went blank right before your meeting?,No,Yes,./images/The_Meeting.jpeg,2
Work/Career Development,Social Situations,,Giving a Presentation,"You have a lot of work to do for your job's evaluation. One of your most important tasks is to make a well-prepared, lengthy presentation to your coworkers. As you imagine yourself giving your presentation, you feel excited.",N/A,Are you looking forward to giving your presentation to your coworkers? ,Yes,No,./images/Giving_a_Presentation.jpeg,2
Work/Career Development,Social Situations,,Peer Evaluations,"You are having a debate with coworkers about a task at your job. The other people have more experience than you do. When you think about arguing your position, you feel confident.",N/A,Are you worried about the debate?,No,Yes,./images/Peer_Evaluations.jpeg,2
Work/Career Development,,,"1, 2, 3. Eyes on Me",You have a big presentation to your boss and other staff members. You know everyone's eyes are on you as you stand in front of the room. You feel nervous.,"You give yourself a moment to collect your thoughts and begin the presentation. During the presentation, you feel prepared.",Are you feeling prepared for your presentation?,Yes,No,"./images/1,_2,_3._Eyes_on_Me.jpeg",2
Work/Career Development,Social Situations,,Virtual Worry,"Your boss asks a question to the group in your virtual meeting. You click the ""raise hand"" button and prepare your response. You think that you'll sound dumb.",You get called on and say your answer. Everyone probably thought you sounded knowledgeable,Did the other people think you sounded dumb? ,No,Yes,./images/Virtual_Worry.jpeg,2
Work/Career Development,,,Feeling Prepared ,"You are giving a presentation at a meeting tomorrow. You know that the quality of your presentation will be taken into account by your boss. As you think about the presentation, you feel prepared.",N/A,Are you prepared for your presentation?,Yes,No,./images/Feeling_Prepared.jpeg,all
Work/Career Development,Family & Home Life,,Approaching Deadline,"You and your partner share a computer. You have a work assignment due tonight but they're using the computer. When you think about completing the work on time, you feel confident.",N/A,Will you get your assignment done in time?,Yes,No,./images/Approaching_Deadline.jpeg,all
Work/Career Development,,,Running Late,"You wake up and realize that you're late for your first online meeting of the day. You log into the meeting and when you do, your supervisor stops talking. You apologize for being late in the chat, and spend the rest of the meeting feeling calm.",N/A,Are you anxious for the rest of the meeting because you were late?,No,Yes,./images/Running_Late.jpeg,all
Work/Career Development,Mental Health,,A Little Stumble,"Your boss is watching your presentation in your meeting today. During the presentation, you stumble over your words a lot. You feel defeated.","While you feel upset, you realize that it's natural to make mistakes. You think that your boss won't remember.",Is it okay that you made a mistake in front of your boss?,Yes ,No,./images/A_Little_Stumble.jpeg,all
Work/Career Development,Family & Home Life,,Making a Choice,"Your partner wants you to take on a specific job. You would rather work in a different place but your partner has made it clear they are not on board with the job choice. When you think about talking with your partner about your choice, you feel prepared.",N/A,Can you handle talking to your partner about your job choice?,Yes,No,./images/Making_a_Choice.jpeg,all
Work/Career Development,Family & Home Life,,Supportive Person ,"You want to talk to someone about your plans for the future, but don't want to talk to your family about it. You think about other close people in your life, and decide to talk to your closest friend. When you think about their reaction, you think they will probably be encouraging.",N/A,Do you feel worried about talking to your friends about your plans for the future? ,No,Yes,./images/Supportive_Person.jpeg,all
Work/Career Development,,,Discussing the Evaluation ,"You just received your performance evaluation, and you noticed their are some critiques about your work that you did not realize were an issue. While waiting for your meeting with your boss, you feel ready.",N/A,Are you spending your time worrying about meeting with your boss?,No,Yes,./images/Discussing_the_Evaluation.jpeg,all
Work/Career Development,,,Troublesome Typos,"You just sent an important email. As you reread what you've sent, you see a typo in the first sentence. You believe that you should be concerned.",,Should you be worried about the typo?,Yes,No,./images/Troublesome_Typos.jpeg,all
Work/Career Development,Social Situations,,First Impressions,"A new supervisor is hired for the department you are in, and you hear that he is very precise on how things are to be done. You meet him for the first time and talk about the upcoming month. Getting up to leave at the end of your meeting, you think that he found you to be intelligent.",N/A,Does your new supervisor have a good opinion of you?,Yes,No,./images/First_Impressions.jpeg,all
Work/Career Development,Mental Health,Physical Health,Out of Your Control,"You are about to do your first online interview for an important promotion. You click the link when it is time to join the meeting,  but your internet cuts out. You think about the interviewers assuming you are late and feel nauseous.","After a minute, your Internet comes back. You log back in and realize you feel more confident.",Do you feel sick throughout the rest of your interview? ,No,Yes,./images/Out_of_Your_Control.jpeg,all
Work/Career Development,Mental Health,,Different Expectations,"You check online to see if you were selected for a raise. You see that you were not, although you expected to be. You think about what this will mean for your future, and know everything will be fine.",,Will there be terrible consequences for not getting this raise?,No ,Yes,./images/Different_Expectations.jpeg,all
Work/Career Development,,,Expectations,"The year just ended and your boss wants to meet with you about your performance. They have high expectations for you, but you performed worse than previous years. Your boss will be upset.","You think about why they want you to perform well. You know it is because they want you to do well, so that makes you feel better.",Do you stay upset when thinking about talking to your boss about your performance this year? ,No,Yes,./images/Expectations.jpeg,all
Work/Career Development,,,Class Clowns,"During a staff meeting, you are called on to share your thoughts. As you start to talk, you hear a loud burst of laughter behind you. Your fellow coworkers are laughing at a joke.",N/A,Are your coworkers laughing at you?,No,Yes,./images/Class_Clowns.jpeg,all
Work/Career Development,,,Supportive Guidance ,"Tonight, you find out the results of your yearly performance evaluation at work. Your rankings are low in one category, and you know your supervisor will want to meet with you to discuss your performance. When you think about what your supervisor will say to you, you feel ok.",N/A,Can you handle your department head's reaction to your poor evaluation?,Yes,No,./images/Supportive_Guidance.jpeg,all
Work/Career Development,,,Office Initiative,A new office initiative started by you and a few other coworkers was rejected by your boss and you have to tell the news to the others. They don't say anything when you tell them. They are probably feeling disappointed.,,Are your coworkers disappointed that your initiative was rejected?,Yes,No,./images/Office_Initiative.jpeg,all
Work/Career Development,Mental Health,,Enjoyable Endeavor ,"You and some coworkers were given some extra tasks to complete by the end of the week, and you've been working hard. You overheard your coworkers saying that you'd be ""crazy"" to enjoy the extra work. You think about how productive it makes you feel to be working this hard, and feel excited.",,Are you looking forward to completing the extra tasks?,Yes,No,./images/Enjoyable_Endeavor.jpeg,all
Work/Career Development,Social Situations,,Prepare to Succeed,"In your meeting today, you have an important presentation. In order to follow your boss's instructions, you must present for 15 minutes. When you think about completing this presentation, you feel prepared.",,Are you able to complete the presentation?,Yes,No,./images/Prepare_to_Succeed.jpeg,all
Work/Career Development,,,Putting in the Work,"This year, you've decided to take on more weekly hours. This is your first time working this many hours and you've heard from your peers that it's difficult. When you think about the workload, you think that you will be able to handle it well.",,Will you succeed with your new workload?,Yes,No,./images/Putting_in_the_Work.jpeg,all
Work/Career Development,,,Social Media Feedback,"You sent an email to your department a few hours ago, asking for responses on a topic. You check to see who's responded and notice that your boss hasn't responded yet. You think about how your boss didn't read the email from you and you feel sad.","You look at who did respond, and notice other coworkers have given their input. When you think about your boss not responding yet, you are accepting.",Is it okay that your boss hasn't responded yet?,Yes,No,./images/Social_Media_Feedback.jpeg,all
Work/Career Development,,,A Crucial Call,"Today, you will receive an important call. You'll find out if you got the job you interviewed for. As you think about waiting for the call, your anxiety is tolerable.",N/A,Are you able to tolerate feeling anxious while waiting for the call?,Yes,No,./images/A_Crucial_Call.jpeg,all
Work/Career Development,Physical Health,,Rearranging After Exposure,"You have a presentation for your department coming up, and you’ve been working hard in the hopes that you'll impress your supervisor. The night before, you find out a friend you had dinner with has a virus, and now you're feeling sick. You think your supervisor will understand and help you arrange a better time to present.",N/A,Will your supervisor penalize you for getting sick?,No,Yes,./images/Rearranging_After_Exposure.jpeg,all
Work/Career Development,Mental Health,,Waking Up Ready,"As you're finishing an assignment at midnight, you realize you still have a couple of tasks left. You plan to wake up a little early to finish them. While you're setting your alarm and thinking about your plan, you feel confident.",,Are you anxious about your plan to finish your tasks in the morning?,No,Yes,./images/Waking_Up_Ready.jpeg,all
Work/Career Development,,,Ready to Work,"You have a lot of tasks to finish tomorrow. You've been procrastinating getting it done because it is going to be hard. When you think about doing your work tonight, you feel ready.",,Are you going to complete your work?,Yes,No,./images/Ready_to_Work.jpeg,all
Work/Career Development,,,Taking Your Own Career Path,"You've decided to take time off work to travel. You don't know anyone who has taken this type of break, and all of your friends are questioning it. When you think about your decision, you feel like it's right.",,Are you satisfied with your decision to go take time off to travel?,Yes,No,./images/Taking_Your_Own_Career_Path.jpeg,all
Work/Career Development,,,Reconnecting With People,"You have had a lot of work pile up these past couple of weeks. As a result, you have not been able to spend time with friends or family as much as you would want and have often times felt lonely. Once your workload lessens, you plan on reconnecting with people who mean a lot to you.",N/A,Will you be able to hang out with friends and family when you have more time?,Yes,No,./images/Reconnecting_With_People.jpeg,all
Work/Career Development,Social Situations,,Not Invited to Dinner,"You just started at a new job and you work with lots of new people. You hear a few of them laughing together and talking about going out to dinner and you wait for them to invite you, eager to make friends, but they don't. You feel okay with this and look forward to reaching out next time.",N/A,Is it too late to befriend your new coworkers?,No,Yes,./images/Not_Invited_to_Dinner.jpeg,all
Work/Career Development,,,Managing Multiple Positions,"You recently decided to join a new neighborhood organization on top of your job. At a meeting for the new group, you brought the wrong notebook and have notes for your job, which aren't useful here. You think managing being in this new group will be difficult.",N/A,Will it be hard to be in this new organization?,Yes,No,./images/Managing_Multiple_Positions.jpeg,all
Work/Career Development,,,Wrapping Up Work,"Work has been piling up at your job recently, and you were going to take the weekend to catch up. However, your friend reminded you of an event this weekend that you committed to, and it would be rude to cancel last minute. You think that completing your work will be doable.",N/A,Will you be able to do work this weekend?,Yes,No,./images/Wrapping_Up_Work.jpeg,all
Work/Career Development,Social Situations,,Misunderstanding,You are in a meeting and reach to put your phone away as the new head of your department starts talking. He mistakes this for you texting during the meeting and calls you out in front of everyone. You go up to apologize afterwards and you can't read your head of department's expression.,"After explaining what happened to the head of your department, he says he understands. You feel like you will still be able make a good impression.",Will your department head view you negatively because of this?,No,Yes,./images/Misunderstanding.jpeg,all
Work/Career Development,Mental Health,,Committing to Activities,"You were very excited to return to in-person office work and decided to commit to a lot of activities. You've found it challenging to meet all of your responsibilities, and you worry that you are failing at everything. ","You realize that being back in-person is an adjustment, and it will take some time to get used to the business of an in-person workplace. You think that with everything you have going on, you're doing a great job. ",Can you handle your responsibilities?,Yes ,No,./images/Committing_to_Activities.jpeg,all
Work/Career Development,,,Write Your Own,,,,,,,write your own
Work/Career Development,,,Write Your Own,,,,,,,write your own
Work/Career Development,,,Write Your Own,,,,,,,write your own
Work/Career Development,Mental Health,,Managing Responsibilities,"You have started to volunteer at a local organization and have had a difficult time managing it with work. One of the volunteer leaders asked if you would be willing to help her out with a project outside of your usual responsibilities,and you are worried if she will be disappointed if you say no. After thinking on it, you tell her that you can't help out with this project because of work, but are willing to help out on the next one.",N/A,Is it okay to turn down additional responsibility?,Yes,No,./images/Managing_Responsibilities.jpeg,1
Work/Career Development,Mental Health,,Taking a Break,"You've been very busy the past few months, and you haven't had a lot of free time. You finally have a chance to rest, but you feel guilty that you're taking a break rather than completing work. You think that you deserve to relax. ",N/A,Should you do your work right now?,No,Yes,./images/Taking_a_Break.jpeg,1
Work/Career Development,,,New Skill,"You have enrolled in a data science program offered by your workplace because you think it will be a useful skill to acquire going forward. You know the demand for people with data science experience is increasing, but the course is very difficult. Imagining how you will do in the program, you believe your efforts to learn some data science skills will be futile.",,You will most likely,Quit this program because you are doing poorly.,Complete the program and learn some useful data science skills.,./images/New_Skill.jpeg,1
Work/Career Development,,,Speaking Up at Work,"Your boss is talking about one of your role models in your field of work during a meeting, and she asks if anyone knows about their work. You quickly raise your hand in front of everyone, and your colleagues turn to you. You realize that you feel confident.",,Are you embarrassed that you raised your hand?,No,Yes,./images/Speaking_Up_at_Work.jpeg,1
Work/Career Development,Mental Health,,Achieving Your Goals,"You would like to apply for a higher position at your job and further your skills. You know that the process of getting selected is rigorous, but you feel very passionate about achieving this goal and have worked hard to make yourself a good employee. You feel that your chances of getting this new job are reasonable.",,You think that your application,Puts you in a good position to get this new job.,Will not be good enough to get you the job.,./images/Achieving_Your_Goals.jpeg,1
