Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,PD scenario body,PD scenario body #2 (negation scenarios only),PD comprehension question,PD correct response,PD incorrect response,PD photo link,Letters Missing
Work/Career Development,,,A lengthy read,"You have been assigned a task, and you try very hard to make sure it is thorough. The job is quite difficult. When your supervisor sees it, you think they will judge your efforts as suitable.",N/A,Will your supervisor judge your efforts as reasonable?,Yes,No,https://drive.google.com/file/d/1RKi9OcuyFaniZ5jGBXttumHbaAOKNP2G/view?usp=sharing,1
Work/Career Development,Social Situations,,Bad rumor,"You heard a rumor your supervisor is planning on firing someone in your position. Although you are normally a good employee, you were late for a meeting earlier this week. You feel that the probability of you getting demoted is minimal.",N/A,You think that your supervisor could be ...,Planning to fire someone else.,Planning to fire you.,https://drive.google.com/file/d/1Ufz-pbEsTswKD1WwWeGUqfBKkpWje2t7/view?usp=sharing,1
Work/Career Development,,,An interview panel,"You are the third and final candidate to be interviewed for a job. The interview panel greets you as you walk into the conference room. When you sit down, you feel your cheeks burning red, and you start to shake. The panel probably sees you as nervous.","After the interview, you realize that it is normal to be nervous during panel interviews. The panelists probably saw you as reasonably calm and enthusiastic.",Do you think the interviewers see you as a nervous person?,No,Yes,https://drive.google.com/file/d/1mTDpifErX2S2EJttSEMaqR6mz1MpzjR7/view?usp=sharing,1
Work/Career Development,,,Future limitations,This morning you hear the news that a lot of companies are currently downsizing. You think about what will happen if you lose your job. You decide that finding another job will be possible.,N/A,"If you lose your job, you will probably ...",Find a new job that you enjoy. ,Be unable to support yourself. ,https://drive.google.com/file/d/1RnImJE-U_C1bMfkgSBjJk7I4RaUqraB1/view?usp=sharing,1
Work/Career Development,Social Situations,,A sudden stumble,"It is your first day at a new job, and you report to your manager. As you approach them, you stumble, then recover. They noticed, and their first impression of you is probably that you are very prepared.",N/A,Your manager will probably think that ...,You are ready to take on challenges.,You are a clumsy person.,https://drive.google.com/file/d/1DttLONiIj8xl29lRpUM8ExKkKo4JbVNe/view?usp=sharing,1
Work/Career Development,Social Situations,,Quick task completion,"You have started working on a new committee with other staff, and you are given a task that normally takes a few days, but you manage to finish it the same day. You show it to the rest of the committee, who find only one mistake in your work. As the meeting ends, you expect they think your work is commendable.",N/A,Was the committee pleased with your work?,Yes,No,https://drive.google.com/file/d/1L13QcCiq5pWIaUjHGkFhwwQeosh7S9tG/view?usp=sharing,1
Work/Career Development,Social Situations,,Correction,"In the corridor at work, your boss asks you a question, and you realize you respond incorrectly. Your boss corrects you. You think the experience of being corrected by your boss is awful.","In the end, you remind yourself that occasionally making mistakes does not make you a bad employee. Your boss had corrected you kindly, as was their job, and you feel that the whole interaction went well.",Is it okay to occasionally answer a question from your boss incorrectly?,Yes,No,https://drive.google.com/file/d/1LkIEzSKHGt3ThPYYrQWPZjfUroEcuFve/view?usp=sharing,1
Work/Career Development,Social Situations,,Contributing to a discussion,Your boss calls a meeting to discuss a new project that will involve most of the staff at your office. You are suddenly asked to contribute your ideas to the discussion. You quickly come up with some ideas on the spot and think that your colleagues will find your ideas to be exciting.,N/A,The people in your office will probably ...,Support your ideas.,Dislike your ideas. ,https://drive.google.com/file/d/1JLyALw0FAi4CqbIXE3sRzXwYRToDyEgw/view?usp=sharing,1
Work/Career Development,Social Situations,,A night off,"You have a big project due at the end of the week. Your work isn't finished, but you consider taking a break to go out with friends. Taking the night off would be reasonable. ",N/A,Is it okay that you stopped working to go out with friends?  ,Yes,No,https://drive.google.com/file/d/1sp47R6r1ixHVuH4FTKwHC2nrZaym61Iy/view?usp=sharing,1
Work/Career Development,Social Situations,,Word stumbling,"You have to make a presentation about your work to your colleagues and your boss. As you start, you stumble on your first few words. Continuing with it, you think that your performance will be evaluated positively.",N/A,Do you think others will like your presentation?,Yes,No,https://drive.google.com/file/d/1xUVHP-lj26dCvOIiMMMta2bgIGRH5hR9/view?usp=sharing,1
Work/Career Development,Social Situations,,Optional presentation,"Your boss has hired a few interns for the summer. Your boss asks you to stay after work to give them a brief presentation about the university's goals and values but tells you that this is completely optional. You feel a little nervous about giving the presentation, and you decide to stay.",N/A,Do you stay to give the optional presentation?,Yes,No,https://drive.google.com/file/d/1f7AX8AtByV-EKIO86OXhrR2a6P9gCwXU/view?usp=sharing,1
Work/Career Development,Social Situations,,Writing workshop,"A coworker suggests that your team participates in a workshop on writing for the workplace. You go online and read information about the workshop. As you navigate through the site, the thought of other people looking at your writing makes you feel enthusiastic",N/A,Do you expect to feel uncomfortable if others look at your work?,No,Yes,https://drive.google.com/file/d/1vQbs0ifLnQbnC1ejFEq6WujzKLqZl7vv/view?usp=sharing,1
Work/Career Development,Social Situations,,Nerve-wracking presentation,"You have to give a presentation to your boss. As you think about the talk, you feel butterflies in your stomach. On the morning of the talk, you feel nervous, and you think your nerves will be manageable.",N/A,Are you able to tolerate your anxiety?,Yes,No,https://drive.google.com/file/d/16jiyG_dY7BTG2s8QjNuSQJn_RwkLlqXH/view?usp=sharing,1
Work/Career Development,Social Situations,,A small presentation,"You are working on a project you enjoy. However, you were just informed that during the next staff meeting you will have to give a five-minute oral presentation to the rest of the staff. On the evening before the presentation, you feel frightened about the idea of public speaking, and you decide your fear is tolerable.",N/A,Can you handle your fear of giving the oral presentation?,Yes,No,https://drive.google.com/file/d/1V-HyzPWcCSIQCjmLetck1SbZQT1cVtgr/view?usp=sharing,1
Work/Career Development,Social Situations,,Brief call,"You are in a meeting, and during a brief break, you call home to speak to your significant other. You are late getting back into the meeting room, so everyone looks up when you open the door. Others see your actions as disruptive.",After the meeting you realize that the other students were probably just surprised that the door suddenly opened. Chances are they think that your opening and closing the door quietly means you are considerate.,Did people think your returning to the meeting late was rude?,No,Yes,https://drive.google.com/file/d/1erMRFTmY4lmvlMrKvVk2If-RizKCWZ0l/view?usp=sharing,1
Work/Career Development,Social Situations,,Giving a speech,"You are giving a speech at a convention for work. As you speak, you look into the crowd and notice that your boss’s expression is almost emotionless, but you can make out a slight frown.","After the speech, you realize that people often look emotionless and frown when they are concentrating and focusing hard. You think that your boss was most likely feeling impressed.",Does your boss’s neutral expression mean that they are disappointed with your speech?,No,Yes,https://drive.google.com/file/d/1j_wTSZ6LyYqWqgOAZFYdxFtjd0jBduSd/view?usp=sharing,1
Work/Career Development,,,Unstable WiFi,"You don't have stable internet access at home and you found out the job you're applying for is remote. You wonder how you'll be able to keep up with your work if you get the job. As you think about the situation, you feel stressed.",N/A,Are you worried about applying to the remote job? ,Yes,No,https://drive.google.com/file/d/1Dyk0jx8bXiVMVELskA1wH2t85AfZV8H8/view?usp=sharing,1
Work/Career Development,,,Child Check-In,"You are babysitting, and the child is outside playing with friends. You look out the window to check on them, and they are not there. The child is probably fine.",N/A,Is the child okay?,Yes,No,https://drive.google.com/file/d/1U_K5bUwiMW3lKA5YyP16zf6zBUfbJBlZ/view?usp=sharing,2
Work/Career Development,Finances,,Job Market,"You recently saw on the news that the economy has been particularly bad. Even though your boss typically gives you good reviews, you wonder whether your job is safe. You think you will likely be fine.",N/A,Is it likely that you will be fired?,No,Yes,https://drive.google.com/file/d/1_T7rY6ZMUGkrrUUDGpQvHEG53QIE1J_h/view?usp=sharing,2
Work/Career Development,Mental Health,,Evaluation results,"The window for staff evaluations just closed, and you are not sure whether you did well or not. You feel nervous as you think about how other people graded you. You think being nervous is manageable.",N/A,Can you tolerate your nervousness as you wait to find out your evaluation?,Yes,No,https://drive.google.com/file/d/1wsTsWXkjfok0Sn3yNthn2D51nUUgPfAo/view?usp=sharing,2
Work/Career Development,Social Situations,,Stuttering in office ,"You are having a conversation with your supervisor in their office. You notice that you are stuttering over your words a bit more than you normally do. As the conversation continues, you decide this is okay.",N/A,Are you embarrassed due to stuttering over your words?,No,Yes,https://drive.google.com/file/d/1aUoa1C9eagfLdwz6V8WTzXzAjHHYPXaJ/view?usp=sharing,2
Work/Career Development,Social Situations,,Train of thought,"You are giving a presentation at work. During one of your slides, you lose your train of thought and have to take a moment to look over your notes. As you start again, you think that losing one's train of thought while presenting is normal.",N/A,Is it normal to lose your train of thought while presenting?,Yes,No,https://drive.google.com/file/d/1PHmQe4AQ2pdApKjmB9uPD73GJXIyik1b/view?usp=sharing,2
Work/Career Development,Social Situations,,Missing meeting,"Although you are normally on time for work events, today you receive an email from your boss saying that you are a few minutes late for a scheduled meeting with them, which you had completely forgotten about. As you quickly head to the office, you wonder whether they are going to judge you for being late. As you walk into the room, your anxiety is tolerable.",N/A,"During the meeting, your boss will probably think you are ...","Competent, even though you made a mistake. ",Irresponsible and nervous.,https://drive.google.com/file/d/17IOmNhMDq3epnJGE8TemGWfg4KUWPytl/view?usp=sharing,2
Work/Career Development,,,Important visitors,"Some important people are visiting your office, and you are asked to present a project to them. On the day of the presentation, you arrange your slides and mentally prepare yourself. You think the visitors will evaluate your performance as organized.",N/A,Will the visitors be unimpressed with your performance?,No,Yes,https://drive.google.com/file/d/1cJz2W2jQrnpZ4LfT39NhgX0UGBztrPPa/view?usp=sharing,2
Work/Career Development,Mental Health,,Deleted Project,"You have to turn in an important project today. When you open your computer, you can't find the file anywhere. The project must have been deleted.",You take a deep breath and decide to tell your boss about what happened. You feel ok.,Are you anxious because your project got deleted?,No,Yes,https://drive.google.com/file/d/1GCrKOzwl1UC_Ekj6ZbzSSgZLWAASM60G/view?usp=sharing,2
Work/Career Development,Social Situations,,Dealing with Group Work,"You are assigned a project to complete for work. You've been grouped with coworkers who usually don't contribute much to work projects. You start to think about how the project will go, and feel uneasy.",,Are you worried about completing the presentation?,Yes,No,https://drive.google.com/file/d/1MSvkZ7ilWBOwRh_oL2pAafze77-a_M3n/view?usp=sharing,2
Family & Home Life,,,Differing Beliefs,"You and your extended family have very different political and religious beliefs. This sometimes causes tension, but you make a strong effort to have a good relationship with your family. ","As time goes on, you do not expect your family to drift apart, and you think that your family will become closer.",Will your family's relationships become more strained as time goes on?,No,Yes,https://drive.google.com/file/d/1V9enBLw4iWozyu0nY4pNLSUJ4-RiRp_s/view?usp=sharing,2
Work/Career Development,,,Preparing for evaluation,You are preparing to meet with your boss for a performance review. You heard from other people that your boss is in an incredibly bad mood today. You worked hard this semester and think it is likely you will get a good review.,N/A,Will you probably get a good review?,Yes,No,https://drive.google.com/file/d/1JqWIAI0rY_t0uGgYnmPOToM6KeNWRxvn/view?usp=sharing,2
Work/Career Development,Mental Health,,One-on-one thoughts,"You have a one-on-one meeting today with your intimidating boss, which you are nervous about. During the meeting, you momentarily lose your train of thought. After that, your anxiety is tolerable.",N/A,Are you able to tolerate your anxiety while meeting with your boss?,Yes,No,https://drive.google.com/file/d/1XdpsyI2ipYQdebyRJI6icWGBOLJlNXCD/view?usp=sharing,2
Work/Career Development,,,Strong opinions,The morning of your first evaluation with your new boss has arrived. They tell you that they have strong views about your work. You think that they likely find your work excellent.,N/A,Do you think your new boss has an unfavorable opinion of your work?,No,Yes,https://drive.google.com/file/d/1DDUHB-Z2PNw0gY0ymtiflHQj1EUSuaTn/view?usp=sharing,2
Work/Career Development,,,Putting Preparation to the Test,"You have an important presentation today. You've been working hard on it because it is a requirement for your job. When you begin the presentation, you feel prepared.",N/A ,Do you feel ready for your presentation today? ,Yes,No,https://drive.google.com/file/d/1MSvkZ7ilWBOwRh_oL2pAafze77-a_M3n/view?usp=sharing,2
Work/Career Development,,,Waiting for Big News,"Today, you will receive an important email. It will tell you whether you received or didn't get a promotion that would really advance your career.  As you think about waiting for the email, you feel excited.",N/A,Are you miserable waiting for the important email?,No,Yes,https://drive.google.com/file/d/1N6vR25DLC0FZk7m0Kj9cqT3vnyjdyQOA/view?usp=sharing,2
Work/Career Development,,,Waiting for Big News,"Today, you will receive an important email. It will tell you whether you received or didn't get a promotion that would really advance your career.  As you think about waiting for the email, you feel dread.",N/A,Are you miserable waiting for the important email?,Yes,No,https://drive.google.com/file/d/1N6vR25DLC0FZk7m0Kj9cqT3vnyjdyQOA/view?usp=sharing,2
Work/Career Development,Social Situations,,Letting Others See Your Work,"A friend suggests that you join a creative writing organization. He tells you that members of the organization will read and critique your writing. As you listen to your friend, the thought of other people looking at your writing makes you feel enthusiastic.",,Do you expect to feel uncomfortable if others look at your work?,No,Yes,https://drive.google.com/file/d/1_v0XVyjgJOJpCTokQcFjgQ8I8d4-jNxu/view?usp=sharing,2
Work/Career Development,Mental Health,,Important Email,"Today you are receiving an email about whether or not you received a promotion. You have a few hours to wait until you'll get the email. When you think about waiting that long, you feel miserable.",N/A,Do you feel OK having to wait for the email?,No,Yes,https://drive.google.com/file/d/1N6vR25DLC0FZk7m0Kj9cqT3vnyjdyQOA/view?usp=sharing,2
Work/Career Development,Social Situations,,Mind Going Blank,Your boss calls on you to answer a question about the plans you just discussed. You don't know what to say. Your mind goes blank.,"You give yourself a moment to collect your thoughts and then answer the question. When you think about the answer you gave, you feel good.",Are you able to answer the question?,Yes,No,https://drive.google.com/file/d/1peJsSeWbW75_7SXUaFUQcsUBkEkp3q7I/view?usp=sharing,2
Work/Career Development,,,Judging Your Performance,"You prepared a lot for an important presentation with your colleagues. Your section of the presentation didn't go as well as you expected. You think about whether you will be able to do better in your next section, and realize this was your last section.","Right now you aren't happy, but you think about your group's overall presentation. You realize that it was good.",Did your presentation go poorly?,No,Yes,https://drive.google.com/file/d/14a4DahQYPIJ3NTQ9Unf1v00amnMGcw0k/view?usp=sharing,2
Work/Career Development,,,Finishing Work,"You have a project due at work next week. You haven't started it yet because you're unsure how to best complete it. When you think about completing the project on time, you feel confident.",N/A,Are you worried about completing your project on time?,No,Yes,https://drive.google.com/file/d/12ozsRqQm34HuapdP-IpswqSXrE7BODWH/view?usp=sharing,2
Work/Career Development,Mental Health,,Using Different Technology,"You recently replaced your laptop and had to go with a cheaper option. Your boss asks you to complete a project that will require an application that your new computer doesn’t have. When you think about completing your work for this project, you feel capable.",N/A,Do you feel capable of completing the work for this project?,Yes,No,https://drive.google.com/file/d/1GCrKOzwl1UC_Ekj6ZbzSSgZLWAASM60G/view?usp=sharing,2
Work/Career Development,,,Noisy Neighbors,"Your neighbors were really loud last night so you couldn't sleep. You have a huge presentation to give to your coworkers this morning on a complicated topic. As you think about how you'll do in the presentation, you feel prepared.",,Are you ready for your presentation?,Yes,No,https://drive.google.com/file/d/1HsDUCeU29zHEdpx6zFJUNO-bHxtE6WBU/view?usp=sharing,2
Work/Career Development,,,Completion Complications,"You are proposing a new idea in a meeting today. You only have an hour before the meeting and you don't know where to start. When you think about your ability to complete the proposal, you feel doubtful.",,Will you be able to finish your proposal in time?,No,Yes,https://drive.google.com/file/d/1HUpZhRLel0QTYYZM64ONySSJM68ju4jm/view?usp=sharing,2
Work/Career Development,Social Situations,,Changing Your Plans,"You've decided to accept a job in another department. All of your close friends are applying to committees within your current department. When you think about your decision to switch departments, you feel satisfied.",N/A,Are you happy with your decision to switch departments?,Yes,No,https://drive.google.com/file/d/1vmEFLzq1i5guQSpr0uE5nLlEbZHH1whv/view?usp=sharing,2
Work/Career Development,Social Situations,,The Meeting,You are walking to an important meeting with your supervisor. Suddenly your mind goes blank as you reach for the doorknob to her office. You think about your mind going blank and think that this is normal.,N/A,Is it scary that your mind went blank right before your meeting?,No,Yes,https://drive.google.com/file/d/1HrKlnH59LbjyVK-GI-f2xW5XO6qf-E0n/view?usp=drive_link,2
Work/Career Development,Social Situations,,Giving a Presentation,"You have a lot of work to do for your job's evaluation. One of your most important tasks is to make a well-prepared, lengthy presentation to your coworkers. As you imagine yourself giving your presentation, you feel excited.",N/A,Are you looking forward to giving your presentation to your coworkers? ,Yes,No,https://drive.google.com/file/d/1_2rE9XRzKQTqhk0TQjBqftLX-RvYtkqL/view?usp=sharing,2
Work/Career Development,Social Situations,,Peer Evaluations,"You are having a debate with coworkers about a task at your job. The other people have more experience than you do. When you think about arguing your position, you feel confident.",N/A,Are you worried about the debate?,No,Yes,https://drive.google.com/file/d/1Gf9_VnvtNkCVWOZu8VQ1INYnQFjRuB7m/view?usp=sharing,2
Work/Career Development,,,"1, 2, 3. Eyes on Me",You have a big presentation to your boss and other staff members. You know everyone's eyes are on you as you stand in front of the room. You feel nervous.,"You give yourself a moment to collect your thoughts and begin the presentation. During the presentation, you feel prepared.",Are you feeling prepared for your presentation?,Yes,No,https://drive.google.com/file/d/1nUDKdq79IsojabL_DGbGTayRJ_gaEEvX/view?usp=sharing,2
Work/Career Development,Social Situations,,Virtual Worry,"Your boss asks a question to the group in your virtual meeting. You click the ""raise hand"" button and prepare your response. You think that you'll sound dumb.",You get called on and say your answer. Everyone probably thought you sounded knowledgeable,Did the other people think you sounded dumb? ,No,Yes,https://drive.google.com/file/d/1EAtQYOc6-pRw8ER3iMMHuueRb5q52TRs/view?usp=sharing,2
Work/Career Development,,,Feeling Prepared ,"You are giving a presentation at a meeting tomorrow. You know that the quality of your presentation will be taken into account by your boss. As you think about the presentation, you feel prepared.",N/A,Are you prepared for your presentation?,Yes,No,https://drive.google.com/file/d/1JqWIAI0rY_t0uGgYnmPOToM6KeNWRxvn/view?usp=sharing,all
Work/Career Development,Family & Home Life,,Approaching Deadline,"You and your partner share a computer. You have a work assignment due tonight but they're using the computer. When you think about completing the work on time, you feel confident.",N/A,Will you get your assignment done in time?,Yes,No,https://drive.google.com/file/d/1q13omJofjfnPiBpNlEwv-3_ZALGQEk6h/view?usp=sharing,all
Work/Career Development,,,Running Late,"You wake up and realize that you're late for your first online meeting of the day. You log into the meeting and when you do, your supervisor stops talking. You apologize for being late in the chat, and spend the rest of the meeting feeling calm.",N/A,Are you anxious for the rest of the meeting because you were late?,No,Yes,https://drive.google.com/file/d/1EpHgRDVH_feHDPXh7Ptof9LRiMAbgzmF/view?usp=drive_link,all
Work/Career Development,Mental Health,,A Little Stumble,"Your boss is watching your presentation in your meeting today. During the presentation, you stumble over your words a lot. You feel defeated.","While you feel upset, you realize that it's natural to make mistakes. You think that your boss won't remember.",Is it okay that you made a mistake in front of your boss?,Yes ,No,https://drive.google.com/file/d/1pQHZTO39FaMtxe96k3wQ-bwUufBsPYvC/view?usp=sharing,all
Work/Career Development,Family & Home Life,,Making a Choice,"Your partner wants you to take on a specific job. You would rather work in a different place but your partner has made it clear they are not on board with the job choice. When you think about talking with your partner about your choice, you feel prepared.",N/A,Can you handle talking to your partner about your job choice?,Yes,No,https://drive.google.com/file/d/1m2yphQK0LLL61Rlq02EFx3go55_lqkG2/view?usp=drive_link,all
Work/Career Development,Family & Home Life,,Supportive Person ,"You want to talk to someone about your plans for the future, but don't want to talk to your family about it. You think about other close people in your life, and decide to talk to your closest friend. When you think about their reaction, you think they will probably be encouraging.",N/A,Do you feel worried about talking to your friends about your plans for the future? ,No,Yes,https://drive.google.com/file/d/1UQUxh_q4Zs7kGC8b3M2bmKum6s_Et1PO/view?usp=drive_link,all
Work/Career Development,,,Discussing the Evaluation ,"You just received your performance evaluation, and you noticed their are some critiques about your work that you did not realize were an issue. While waiting for your meeting with your boss, you feel ready.",N/A,Are you spending your time worrying about meeting with your boss?,No,Yes,https://drive.google.com/file/d/1ruzqRzoiX02FLhAnwN6oJ70yaCOV9usy/view?usp=sharing,all
Work/Career Development,,,Troublesome Typos,"You just sent an important email. As you reread what you've sent, you see a typo in the first sentence. You believe that you should be concerned.",,Should you be worried about the typo?,Yes,No,https://drive.google.com/file/d/1h6K5Zfme1ZXvFeEUrUxMpeqnVyoRZwcr/view?usp=sharing,all
Work/Career Development,Social Situations,,First Impressions,"A new supervisor is hired for the department you are in, and you hear that he is very precise on how things are to be done. You meet him for the first time and talk about the upcoming month. Getting up to leave at the end of your meeting, you think that he found you to be intelligent.",N/A,Does your new supervisor have a good opinion of you?,Yes,No,https://drive.google.com/file/d/1mVvLFMRk8PiZFvRsqTGSwJz2jECVujOz/view?usp=drive_link,all
Work/Career Development,Mental Health,Physical Health,Out of Your Control,"You are about to do your first online interview for an important promotion. You click the link when it is time to join the meeting,  but your internet cuts out. You think about the interviewers assuming you are late and feel nauseous.","After a minute, your Internet comes back. You log back in and realize you feel more confident.",Do you feel sick throughout the rest of your interview? ,No,Yes,https://drive.google.com/file/d/1TxumgZzF-sUe89vA0r7UX4iTl9fyRYu1/view?usp=drive_link,all
Work/Career Development,Mental Health,,Different Expectations,"You check online to see if you were selected for a raise. You see that you were not, although you expected to be. You think about what this will mean for your future, and know everything will be fine.",,Will there be terrible consequences for not getting this raise?,No ,Yes,https://drive.google.com/file/d/1P0f84TQCrR1mvASwWVYrs-DHn25byShE/view?usp=drive_link,all
Work/Career Development,,,Expectations,"The year just ended and your boss wants to meet with you about your performance. They have high expectations for you, but you performed worse than previous years. Your boss will be upset.","You think about why they want you to perform well. You know it is because they want you to do well, so that makes you feel better.",Do you stay upset when thinking about talking to your boss about your performance this year? ,No,Yes,https://drive.google.com/file/d/1wCwgto6cdEuwAN3zGRHJfTtYQnaB_Rh4/view?usp=sharing,all
Work/Career Development,,,Class Clowns,"During a staff meeting, you are called on to share your thoughts. As you start to talk, you hear a loud burst of laughter behind you. Your fellow coworkers are laughing at a joke.",N/A,Are your coworkers laughing at you?,No,Yes,https://drive.google.com/file/d/1N-h1oDhAEgaw_56cFBMGZAp4l_MONTJU/view?usp=sharing,all
Work/Career Development,,,Supportive Guidance ,"Tonight, you find out the results of your yearly performance evaluation at work. Your rankings are low in one category, and you know your supervisor will want to meet with you to discuss your performance. When you think about what your supervisor will say to you, you feel ok.",N/A,Can you handle your department head's reaction to your poor evaluation?,Yes,No,https://drive.google.com/file/d/1R2qiJM_IDzSxINZRkJ1oU9N7X9ZhWZBn/view?usp=sharing,all
Work/Career Development,,,Office Initiative,A new office initiative started by you and a few other coworkers was rejected by your boss and you have to tell the news to the others. They don't say anything when you tell them. They are probably feeling disappointed.,,Are your coworkers disappointed that your initiative was rejected?,Yes,No,https://drive.google.com/file/d/15VPmA2W3BJTESFcdDiE0Xg8dzS88Klsc/view?usp=sharing,all
Work/Career Development,Mental Health,,Enjoyable Endeavor ,"You and some coworkers were given some extra tasks to complete by the end of the week, and you've been working hard. You overheard your coworkers saying that you'd be ""crazy"" to enjoy the extra work. You think about how productive it makes you feel to be working this hard, and feel excited.",,Are you looking forward to completing the extra tasks?,Yes,No,https://drive.google.com/file/d/18Nfhp9FuaS1pKc7jTO3hXT4vzg-FI7Db/view?usp=sharing,all
Work/Career Development,Social Situations,,Prepare to Succeed,"In your meeting today, you have an important presentation. In order to follow your boss's instructions, you must present for 15 minutes. When you think about completing this presentation, you feel prepared.",,Are you able to complete the presentation?,Yes,No,https://drive.google.com/file/d/1pQHZTO39FaMtxe96k3wQ-bwUufBsPYvC/view?usp=sharing,all
